
     LOW_X     HIGH_X       CARD  CARD_DIFF CARD_STND_F
---------- ---------- ---------- ---------- -----------
   .100000    .198000    1079200                2039200
   .100000    .296000    1118400      39200     2078400
   .100000    .394000    1157600      39200     2117600
   .100000    .492000    1196800      39200     2156800
   .100000    .590000    1236000      39200     2196000
   .100000    .688000    1275200      39200     2235200
   .100000    .786000    1314400      39200     2274400
   .100000    .884000    1353600      39200     2313600
   .100000    .982000    1392800      39200     2352800
   .100000   1.080000    1432000      39200     2392000
   .100000   1.178000    1471200      39200     2431200
   .100000   1.276000    1510400      39200     2470400
   .100000   1.374000    1549600      39200     2509600
   .100000   1.472000    1588800      39200     2548800
   .100000   1.570000    1628000      39200     2588000
   .100000   1.668000    1667200      39200     2627200
   .100000   1.766000    1706400      39200     2666400
   .100000   1.864000    1745600      39200     2705600
   .100000   1.962000    1784800      39200     2744800
   .100000   2.060000    1824000      39200     2784000
   .100000   2.158000    1863200      39200     2823200
   .100000   2.256000    1902400      39200     2862400
   .100000   2.354000    1941600      39200     2901600
   .100000   2.452000    1980800      39200     2940800
   .100000   2.550000    2020000      39200     2980000
   .100000   2.648000    2059200      39200     3019200
   .100000   2.746000    2098400      39200     3058400
   .100000   2.844000    2137600      39200     3097600
   .100000   2.942000    2176800      39200     3136800
   .100000   3.040000    2216000      39200     3176000
   .100000   3.138000    2255200      39200     3215200
   .100000   3.236000    2294400      39200     3254400
   .100000   3.334000    2333600      39200     3293600
   .100000   3.432000    2372800      39200     3332800
   .100000   3.530000    2412000      39200     3372000
   .100000   3.628000    2451200      39200     3411200
   .100000   3.726000    2490400      39200     3450400
   .100000   3.824000    2529600      39200     3489600
   .100000   3.922000    2568800      39200     3528800
   .100000   4.020000    2608000      39200     3568000
   .100000   4.118000    2647200      39200     3607200
   .100000   4.216000    2686400      39200     3646400
   .100000   4.314000    2725600      39200     3685600
   .100000   4.412000    2764800      39200     3724800
   .100000   4.510000    2804000      39200     3764000
   .100000   4.608000    2843200      39200     3803200
   .100000   4.706000    2882400      39200     3842400
   .100000   4.804000    2921600      39200     3881600
   .100000   4.902000    2960800      39200     3920800
   .100000   5.000000    3000000      39200     3960000
   .100000   5.098000    3039200      39200     3999200
   .100000   5.196000    3078400      39200     4038400
   .100000   5.294000    3117600      39200     4077600
   .100000   5.392000    3156800      39200     4116800
   .100000   5.490000    3196000      39200     4156000
   .100000   5.588000    3235200      39200     4195200
   .100000   5.686000    3274400      39200     4234400
   .100000   5.784000    3313600      39200     4273600
   .100000   5.882000    3352800      39200     4312800
   .100000   5.980000    3392000      39200     4352000
   .100000   6.078000    3431200      39200     4391200
   .100000   6.176000    3470400      39200     4430400
   .100000   6.274000    3509600      39200     4469600
   .100000   6.372000    3548800      39200     4508800
   .100000   6.470000    3588000      39200     4548000
   .100000   6.568000    3627200      39200     4587200
   .100000   6.666000    3666400      39200     4626400
   .100000   6.764000    3705600      39200     4665600
   .100000   6.862000    3744800      39200     4704800
   .100000   6.960000    3784000      39200     4744000
   .100000   7.058000    3823200      39200     4783200
   .100000   7.156000    3862400      39200     4822400
   .100000   7.254000    3901600      39200     4861600
   .100000   7.352000    3940800      39200     4900800
   .100000   7.450000    3980000      39200     4940000
   .100000   7.548000    4000000      20000     4979200
   .100000   7.646000    4000000          0     5018400
   .100000   7.744000    4000000          0     5057600
   .100000   7.842000    4000000          0     5096800
   .100000   7.940000    4000000          0     5136000
   .100000   8.038000    4000000          0     5175200
   .100000   8.136000    4000000          0     5214400
   .100000   8.234000    4000000          0     5253600
   .100000   8.332000    4000000          0     5292800
   .100000   8.430000    4000000          0     5332000
   .100000   8.528000    4000000          0     5371200
   .100000   8.626000    4000000          0     5410400
   .100000   8.724000    4000000          0     5449600
   .100000   8.822000    4000000          0     5488800
   .100000   8.920000    4000000          0     5528000
   .100000   9.018000    4000000          0     5567200
   .100000   9.116000    4000000          0     5606400
   .100000   9.214000    4000000          0     5645600
   .100000   9.312000    4000000          0     5684800
   .100000   9.410000    4000000          0     5724000
   .100000   9.508000    4000000          0     5763200
   .100000   9.606000    4000000          0     5802400
   .100000   9.704000    4000000          0     5841600
   .100000   9.802000    4000000          0     5880800
   .100000   9.900000    4000000          0     5920000
