
     LOW_X       CARD  CARD_DIFF CARD_STND_F
---------- ---------- ---------- -----------
   .100000    1040400                2000400
   .197990    1079596      39196     2000400
   .295980    1118792      39196     2000400
   .393970    1157988      39196     2000400
   .491960    1197184      39196     2000400
   .589950    1236380      39196     2000400
   .687940    1275576      39196     2000400
   .785930    1314772      39196     2000400
   .883920    1353968      39196     2000400
   .981910    1393164      39196     2000400
  1.079900    1432360      39196     2000400
  1.177890    1471556      39196     2000400
  1.275880    1510752      39196     2000400
  1.373870    1549948      39196     2000400
  1.471860    1589144      39196     2000400
  1.569850    1628340      39196     2000400
  1.667840    1667536      39196     2000400
  1.765830    1706732      39196     2000400
  1.863820    1745928      39196     2000400
  1.961810    1785124      39196     2000400
  2.059800    1824320      39196     2000400
  2.157790    1863516      39196     2000400
  2.255780    1902712      39196     2000400
  2.353770    1941908      39196     2000400
  2.451760    1981104      39196     2000400
  2.549750    2000400      19296     2000400
  2.647740    2000400          0     2000400
  2.745730    2000400          0     2000400
  2.843720    2000400          0     2000400
  2.941710    2000400          0     2000400
  3.039700    2000400          0     2000400
  3.137690    2000400          0     2000400
  3.235680    2000400          0     2000400
  3.333670    2000400          0     2000400
  3.431660    2000400          0     2000400
  3.529650    2000400          0     2000400
  3.627640    2000400          0     2000400
  3.725630    2000400          0     2000400
  3.823620    2000400          0     2000400
  3.921610    2000400          0     2000400
  4.019600    2000400          0     2000400
  4.117590    2000400          0     2000400
  4.215580    2000400          0     2000400
  4.313570    2000400          0     2000400
  4.411560    2000400          0     2000400
  4.509550    2000400          0     2000400
  4.607540    2000400          0     2000400
  4.705530    2000400          0     2000400
  4.803520    2000400          0     2000400
  4.901510    2000400          0     2000400
  4.999500    2000400          0     2000400
  5.097490    2000400          0     2000400
  5.195480    2000400          0     2000400
  5.293470    2000400          0     2000400
  5.391460    2000400          0     2000400
  5.489450    2000400          0     2000400
  5.587440    2000400          0     2000400
  5.685430    2000400          0     2000400
  5.783420    2000400          0     2000400
  5.881410    2000400          0     2000400
  5.979400    2000400          0     2000400
  6.077390    2000400          0     2000400
  6.175380    2000400          0     2000400
  6.273370    2000400          0     2000400
  6.371360    2000400          0     2000400
  6.469350    2000400          0     2000400
  6.567340    2000400          0     2000400
  6.665330    2000400          0     2000400
  6.763320    2000400          0     2000400
  6.861310    2000400          0     2000400
  6.959300    2000400          0     2000400
  7.057290    2000400          0     2000400
  7.155280    2000400          0     2000400
  7.253270    2000400          0     2000400
  7.351260    2000400          0     2000400
  7.449250    2000400          0     2000400
  7.547240    1981104     -19296     2000400
  7.645230    1941908     -39196     2000400
  7.743220    1902712     -39196     2000400
  7.841210    1863516     -39196     2000400
  7.939200    1824320     -39196     2000400
  8.037190    1785124     -39196     2000400
  8.135180    1745928     -39196     2000400
  8.233170    1706732     -39196     2000400
  8.331160    1667536     -39196     2000400
  8.429150    1628340     -39196     2000400
  8.527140    1589144     -39196     2000400
  8.625130    1549948     -39196     2000400
  8.723120    1510752     -39196     2000400
  8.821110    1471556     -39196     2000400
  8.919100    1432360     -39196     2000400
  9.017090    1393164     -39196     2000400
  9.115080    1353968     -39196     2000400
  9.213070    1314772     -39196     2000400
  9.311060    1275576     -39196     2000400
  9.409050    1236380     -39196     2000400
  9.507040    1197184     -39196     2000400
  9.605030    1157988     -39196     2000400
  9.703020    1118792     -39196     2000400
  9.801010    1079596     -39196     2000400
  9.899000    1040400     -39196     2000400
