
     LOW_X     HIGH_X       CARD  CARD_DIFF CARD_STND_F
---------- ---------- ---------- ---------- -----------
   .100000    .198000     980000                  19600
   .100000    .296000     980000          0       39200
   .100000    .394000     980000          0       58800
   .100000    .492000     980000          0       78400
   .100000    .590000     980000          0       98000
   .100000    .688000     980000          0      117600
   .100000    .786000     980000          0      137200
   .100000    .884000     980000          0      156800
   .100000    .982000     980000          0      176400
   .100000   1.080000     980000          0      196000
   .100000   1.178000     980000          0      215600
   .100000   1.276000     980000          0      235200
   .100000   1.374000     980000          0      254800
   .100000   1.472000     980000          0      274400
   .100000   1.570000     980000          0      294000
   .100000   1.668000     980000          0      313600
   .100000   1.766000     980000          0      333200
   .100000   1.864000     980000          0      352800
   .100000   1.962000     980000          0      372400
   .100000   2.060000     980000          0      392000
   .100000   2.158000     980000          0      411600
   .100000   2.256000     980000          0      431200
   .100000   2.354000     980000          0      450800
   .100000   2.452000     980000          0      470400
   .100000   2.550000     980000          0      490000
   .100000   2.648000     980000          0      509600
   .100000   2.746000     980000          0      529200
   .100000   2.844000     980000          0      548800
   .100000   2.942000     980000          0      568400
   .100000   3.040000     980000          0      588000
   .100000   3.138000     980000          0      607600
   .100000   3.236000     980000          0      627200
   .100000   3.334000     980000          0      646800
   .100000   3.432000     980000          0      666400
   .100000   3.530000     980000          0      686000
   .100000   3.628000     980000          0      705600
   .100000   3.726000     980000          0      725200
   .100000   3.824000     980000          0      744800
   .100000   3.922000     980000          0      764400
   .100000   4.020000     980000          0      784000
   .100000   4.118000     980000          0      803600
   .100000   4.216000     980000          0      823200
   .100000   4.314000     980000          0      842800
   .100000   4.412000     980000          0      862400
   .100000   4.510000     980000          0      882000
   .100000   4.608000     980000          0      901600
   .100000   4.706000     980000          0      921200
   .100000   4.804000     980000          0      940800
   .100000   4.902000     980000          0      960400
   .100000   5.000000     980000          0      980000
   .100000   5.098000     999600      19600      999600
   .100000   5.196000    1019200      19600     1019200
   .100000   5.294000    1038800      19600     1038800
   .100000   5.392000    1058400      19600     1058400
   .100000   5.490000    1078000      19600     1078000
   .100000   5.588000    1097600      19600     1097600
   .100000   5.686000    1117200      19600     1117200
   .100000   5.784000    1136800      19600     1136800
   .100000   5.882000    1156400      19600     1156400
   .100000   5.980000    1176000      19600     1176000
   .100000   6.078000    1195600      19600     1195600
   .100000   6.176000    1215200      19600     1215200
   .100000   6.274000    1234800      19600     1234800
   .100000   6.372000    1254400      19600     1254400
   .100000   6.470000    1274000      19600     1274000
   .100000   6.568000    1293600      19600     1293600
   .100000   6.666000    1313200      19600     1313200
   .100000   6.764000    1332800      19600     1332800
   .100000   6.862000    1352400      19600     1352400
   .100000   6.960000    1372000      19600     1372000
   .100000   7.058000    1391600      19600     1391600
   .100000   7.156000    1411200      19600     1411200
   .100000   7.254000    1430800      19600     1430800
   .100000   7.352000    1450400      19600     1450400
   .100000   7.450000    1470000      19600     1470000
   .100000   7.548000    1489600      19600     1489600
   .100000   7.646000    1509200      19600     1509200
   .100000   7.744000    1528800      19600     1528800
   .100000   7.842000    1548400      19600     1548400
   .100000   7.940000    1568000      19600     1568000
   .100000   8.038000    1587600      19600     1587600
   .100000   8.136000    1607200      19600     1607200
   .100000   8.234000    1626800      19600     1626800
   .100000   8.332000    1646400      19600     1646400
   .100000   8.430000    1666000      19600     1666000
   .100000   8.528000    1685600      19600     1685600
   .100000   8.626000    1705200      19600     1705200
   .100000   8.724000    1724800      19600     1724800
   .100000   8.822000    1744400      19600     1744400
   .100000   8.920000    1764000      19600     1764000
   .100000   9.018000    1783600      19600     1783600
   .100000   9.116000    1803200      19600     1803200
   .100000   9.214000    1822800      19600     1822800
   .100000   9.312000    1842400      19600     1842400
   .100000   9.410000    1862000      19600     1862000
   .100000   9.508000    1881600      19600     1881600
   .100000   9.606000    1901200      19600     1901200
   .100000   9.704000    1920800      19600     1920800
   .100000   9.802000    1940400      19600     1940400
   .100000   9.900000    1960000      19600     1960000
