
     LOW_X       CARD  CARD_DIFF CARD_STND_F
---------- ---------- ---------- -----------
   .100000     970000                    300
   .197990     940603     -29397         300
   .295980     911206     -29397         300
   .393970     881809     -29397         300
   .491960     852412     -29397         300
   .589950     823015     -29397         300
   .687940     793618     -29397         300
   .785930     764221     -29397         300
   .883920     734824     -29397         300
   .981910     705427     -29397         300
  1.079900     676030     -29397         300
  1.177890     646633     -29397         300
  1.275880     617236     -29397         300
  1.373870     587839     -29397         300
  1.471860     558442     -29397         300
  1.569850     529045     -29397         300
  1.667840     499648     -29397         300
  1.765830     470251     -29397         300
  1.863820     440854     -29397         300
  1.961810     411457     -29397         300
  2.059800     382060     -29397         300
  2.157790     352663     -29397         300
  2.255780     323266     -29397         300
  2.353770     293869     -29397         300
  2.451760     264472     -29397         300
  2.549750     235075     -29397         300
  2.647740     205678     -29397         300
  2.745730     176281     -29397         300
  2.843720     146884     -29397         300
  2.941710     117487     -29397         300
  3.039700      88090     -29397         300
  3.137690      58693     -29397         300
  3.235680      29296     -29397         300
  3.333670        300     -28996         300
  3.431660        300          0         300
  3.529650        300          0         300
  3.627640        300          0         300
  3.725630        300          0         300
  3.823620        300          0         300
  3.921610        300          0         300
  4.019600        300          0         300
  4.117590        300          0         300
  4.215580        300          0         300
  4.313570        300          0         300
  4.411560        300          0         300
  4.509550        300          0         300
  4.607540        300          0         300
  4.705530        300          0         300
  4.803520        300          0         300
  4.901510        300          0         300
  4.999500        300          0         300
  5.097490        300          0         300
  5.195480        300          0         300
  5.293470        300          0         300
  5.391460        300          0         300
  5.489450        300          0         300
  5.587440        300          0         300
  5.685430        300          0         300
  5.783420        300          0         300
  5.881410        300          0         300
  5.979400        300          0         300
  6.077390        300          0         300
  6.175380        300          0         300
  6.273370        300          0         300
  6.371360        300          0         300
  6.469350        300          0         300
  6.567340        300          0         300
  6.665330        300          0         300
  6.763320      29296      28996         300
  6.861310      58693      29397         300
  6.959300      88090      29397         300
  7.057290     117487      29397         300
  7.155280     146884      29397         300
  7.253270     176281      29397         300
  7.351260     205678      29397         300
  7.449250     235075      29397         300
  7.547240     264472      29397         300
  7.645230     293869      29397         300
  7.743220     323266      29397         300
  7.841210     352663      29397         300
  7.939200     382060      29397         300
  8.037190     411457      29397         300
  8.135180     440854      29397         300
  8.233170     470251      29397         300
  8.331160     499648      29397         300
  8.429150     529045      29397         300
  8.527140     558442      29397         300
  8.625130     587839      29397         300
  8.723120     617236      29397         300
  8.821110     646633      29397         300
  8.919100     676030      29397         300
  9.017090     705427      29397         300
  9.115080     734824      29397         300
  9.213070     764221      29397         300
  9.311060     793618      29397         300
  9.409050     823015      29397         300
  9.507040     852412      29397         300
  9.605030     881809      29397         300
  9.703020     911206      29397         300
  9.801010     940603      29397         300
  9.899000     970000      29397         300
