
     LOW_X       CARD  CARD_DIFF
---------- ---------- ----------
-11.000000          1
-10.680000          1          0
-10.360000          1          0
-10.040000          1          0
 -9.720000      28100      28099
 -9.400000      60100      32000
 -9.080000      92100      32000
 -8.760000     124100      32000
 -8.440000     156100      32000
 -8.120000     188100      32000
 -7.800000     220100      32000
 -7.480000     252100      32000
 -7.160000     284100      32000
 -6.840000     316100      32000
 -6.520000     348100      32000
 -6.200000     380100      32000
 -5.880000     412100      32000
 -5.560000     444100      32000
 -5.240000     476100      32000
 -4.920000     508100      32000
 -4.600000     540100      32000
 -4.280000     572100      32000
 -3.960000     604100      32000
 -3.640000     636100      32000
 -3.320000     668100      32000
 -3.000000     700100      32000
 -2.680000     732100      32000
 -2.360000     764100      32000
 -2.040000     796100      32000
 -1.720000     828100      32000
 -1.400000     860100      32000
 -1.080000     892100      32000
  -.760000     924100      32000
  -.440000     956100      32000
  -.120000     988100      32000
   .200000    1000000      11900
   .520000    1000000          0
   .840000    1000000          0
  1.160000    1000000          0
  1.480000    1000000          0
  1.800000    1000000          0
  2.120000    1000000          0
  2.440000    1000000          0
  2.760000    1000400        400
  3.080000    1000400          0
  3.400000    1000400          0
  3.720000    1000400          0
  4.040000    1000400          0
  4.360000    1000400          0
  4.680000    1000400          0
  5.000000    1000400          0
  5.320000    1000400          0
  5.640000    1000400          0
  5.960000    1000400          0
  6.280000    1000400          0
  6.600000    1000400          0
  6.920000    1000400          0
  7.240000    1000400          0
  7.560000    1000400          0
  7.880000    1000400          0
  8.200000    1000400          0
  8.520000    1000400          0
  8.840000    1000400          0
  9.160000    1000400          0
  9.480000    1000400          0
  9.800000    1000400          0
 10.120000     988000     -12400
 10.440000     956000     -32000
 10.760000     924000     -32000
 11.080000     892000     -32000
 11.400000     860000     -32000
 11.720000     828000     -32000
 12.040000     796000     -32000
 12.360000     764000     -32000
 12.680000     732000     -32000
 13.000000     700000     -32000
 13.320000     668000     -32000
 13.640000     636000     -32000
 13.960000     604000     -32000
 14.280000     572000     -32000
 14.600000     540000     -32000
 14.920000     508000     -32000
 15.240000     476000     -32000
 15.560000     444000     -32000
 15.880000     412000     -32000
 16.200000     380000     -32000
 16.520000     348000     -32000
 16.840000     316000     -32000
 17.160000     284000     -32000
 17.480000     252000     -32000
 17.800000     220000     -32000
 18.120000     188000     -32000
 18.440000     156000     -32000
 18.760000     124000     -32000
 19.080000      92000     -32000
 19.400000      60000     -32000
 19.720000      28000     -32000
 20.040000          1     -27999
 20.360000          1          0
 20.680000          1          0
 21.000000          1          0
