SQL> select overlap_perc_t1_x, low_t1_x, high_t1_x, cbo_card, 1/on_sel_y sel_y, frm_card_sanity from results order by 1 desc;

%ov_t1_x   LOW_T1_X  HIGH_T1_X   CBO_CARD      SEL_Y       csan
-------- ---------- ---------- ---------- ---------- ----------
   100.0          0        100         25         .1         25
    98.0          0         98         25         .1         25
    96.0          0         96         25         .1         25
    94.0          0         94         25         .1         25
    92.0          0         92         25         .1         25
    90.0          0         90         25         .1         25
    88.0          0         88         25         .1         25
    86.0          0         86         25         .1         25
    84.0          0         84         25         .1         25
    82.0          0         82         28         .1         25
    80.0          0         80         28         .1         25
    78.0          0         78         28         .1         25
    76.0          0         76         28 .111111111         25
    74.0          0         74         28 .111111111         25
    72.0          0         72         28 .111111111         25
    70.0          0         70         28 .111111111         25
    68.0          0         68         28 .111111111         25
    66.0          0         66         28 .111111111         25
    64.0          0         64         28 .111111111         25
    62.0          0         62         28 .111111111         25
    60.0          0         60         28 .111111111         25

%ov_t1_x   LOW_T1_X  HIGH_T1_X   CBO_CARD      SEL_Y       csan
-------- ---------- ---------- ---------- ---------- ----------
    58.0          0         58         31 .111111111         25
    56.0          0         56         31       .125         25
    54.0          0         54         31       .125         25
    52.0          0         52         31       .125         25
    50.0          0         50         31       .125         25
    48.0          0         48         31       .125         25
    46.0          0         46         31       .125         25
    44.0          0         44         36       .125         25
    42.0          0         42         36       .125         25
    40.0          0         40         36 .142857143         25
    38.0          0         38         36 .142857143         25
    36.0          0         36         36 .142857143         25
    34.0          0         34         42 .142857143         25
    32.0          0         32         42 .166666667         25
    30.0          0         30         42 .166666667         25
    28.0          0         28         42 .166666667         25
    26.0          0         26         50 .166666667         25
    24.0          0         24         50         .2         25
    22.0          0         22         50         .2         25
    20.0          0         20         50         .2         25
    18.0          0         18         63         .2         25

%ov_t1_x   LOW_T1_X  HIGH_T1_X   CBO_CARD      SEL_Y       csan
-------- ---------- ---------- ---------- ---------- ----------
    16.0          0         16         63        .25         25
    14.0          0         14         63        .25         25
    12.0          0         12         83 .333333333         25
    10.0          0         10         83 .333333333         25
     8.0          0          8        125         .5         25
     6.0          0          6        125         .5         25
     4.0          0          4        125         .5         25
     2.0          0          2        125         .5         25

50 rows selected.

SQL> spool off
